rec_id,obc_timestamp,lap_obc_timestamp,dist,lap_dist,gps_utctime,gps_latitude,gps_longitude,gps_speed,lfm_temperature,lfm_integratedcorrflow,lfm_instantflow,lap_lfm_integratedcorrflow,gfs_gasflow,gfs_gastemp,gfs_netgasvolume,lap_gfs_netgasvolume,jm3_netjoule,lap_jm3_netjoule,jm3_voltage,jm3_current,message_id,volt_voltage,volt_difference,lap_lap,start_lap,finish_lap
0,1739257671.9,0.0,0.0,0.0,07.07.51,25.48839565,51.45026185,0.0,,,,,,,,,234.226,0.0,54177.0,110.0,705_202502_11_0648_59_0011324,,,0,0,0
1,1739257672.0,0.09999990463256836,0.0,0.0,07.07.51,25.48839565,51.45026185,0.0,,,,,,,,,234.226,0.0,54177.0,110.0,705_202502_11_0648_59_0011325,,,0,0,0
2,1739257672.1,0.19999980926513672,0.0,0.0,07.07.51,25.48839565,51.45026185,0.0,,,,,,,,,235.146,0.9199999999999875,54178.0,115.0,705_202502_11_0648_59_0011326,,,0,0,0
3,1739257672.2,0.2999999523162842,0.0,0.0,07.07.51,25.48839565,51.45026185,0.0,,,,,,,,,235.146,0.9199999999999875,54178.0,115.0,705_202502_11_0648_59_0011327,,,0,0,0
4,1739257672.3,0.39999985694885254,0.0,0.0,07.07.51,25.48839565,51.45026185,0.0,,,,,,,,,235.146,0.9199999999999875,54178.0,115.0,705_202502_11_0648_59_0011328,,,0,0,0
5,1739257672.4,0.5,0.0,0.0,07.07.51,25.48839565,51.45026185,0.0,,,,,,,,,235.146,0.9199999999999875,54178.0,115.0,705_202502_11_0648_59_0011329,,,0,0,0
6,1739257672.5,0.5999999046325684,0.1589010665285036,0.1589010665285036,07.07.52,25.488395633,51.450260267,0.8,,,,,,,,,2.065,-232.161,54180.0,114.0,705_202502_11_0648_59_0011330,,,0,0,0
7,1739257672.6,0.6999998092651367,0.1589010665285036,0.1589010665285036,07.07.52,25.488395633,51.450260267,0.8,,,,,,,,,2.065,-232.161,54180.0,114.0,705_202502_11_0648_59_0011331,,,0,0,0
8,1739257672.7,0.7999999523162842,0.1589010665285036,0.1589010665285036,07.07.52,25.488395633,51.450260267,0.8,,,,,,,,,3.032,-231.194,54177.0,116.0,705_202502_11_0648_59_0011332,,,0,0,0
9,1739257672.8,0.8999998569488525,0.1589010665285036,0.1589010665285036,07.07.52,25.488395633,51.450260267,0.8,,,,,,,,,3.032,-231.194,54177.0,116.0,705_202502_11_0648_59_0011333,,,0,0,0
